0.696152091,0.72094053,0.717098713,0.834119081,0.664569914,1,0.795489669,0.486048341,0.73568064,0.667193532,0.703512788,0.650893152,0.81450963,0.672121048,0.752548754,0.355273634,0.649671257,0.551790118,0.794086635,0.728863239,0.756290972,0.714959204,0.638628364,0.660162926,0.581874251,0.621225595,0.765317023,0.677166581,0.720267534,0.470788836,0.534751296,0.810515463,0.777982712,0.70803833,0.562500358,0.860721648,0.561499417,0.636751175,0.233483493,0.459973514,0.651811063,0.77840817,0.844517887,0.765758693,0.722958446,0.802688956,0.802768886,0.439276099,0.451440811,0.749011636,0.636355758,0.623982728,0.719741106,0.556047082,0.416919082,0.49580729,0.85930407,0.676196098,0.422917664,0.445193768,0.800363481,0.715593338,0.459551156,0.410250723,0.407908767,0.189437985,0.765363753,0.627015054,0.863592446,0.737720788,0.256752342,0.823689282,0.677967668,0.644899845,0.48688224,0.646473289,0.83342123,0.910133541,0.657629848,0.310343593,0.778050542,0.461941332,0.509903729,0.472694635,0.795336723,0.764448404,0.464367568,0.803781509,0.672921836,0.504480422,0.674521923,0.917757392,0.548028946,0.542178929,0.63091141,0.482365757,0.594421446,0.957049429,0.664067566,0.714161515
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.435911655,0.451733828,0.497896492,0.562079608,0.411749572,0.570403874,0.478018671,0.319803059,0.473619252,0.430297524,0.421749234,0.392680556,0.520450532,0.403668821,0.452356488,0.228299588,0.367214411,0.372673213,0.442862391,0.451637864,0.438879937,0.473225534,0.385157377,0.47293517,0.367124319,0.409143865,0.480919242,0.432600528,0.417139649,0.33635956,0.384621173,0.50684309,0.508361816,0.398547292,0.387552679,0.490459353,0.386781871,0.425320566,0.165915936,0.287528723,0.418055922,0.464934975,0.524741054,0.476696461,0.447955072,0.460203201,0.530010581,0.278031915,0.303461522,0.454777479,0.442545861,0.387221605,0.496425748,0.369272768,0.289900392,0.344463885,0.583407879,0.406039864,0.320971429,0.296040744,0.491085172,0.438644707,0.332940161,0.304394126,0.263484269,0.12155389,0.479016632,0.38917321,0.504247129,0.458728939,0.180370003,0.472470999,0.435447186,0.4515782,0.303525507,0.388536423,0.480567575,0.527998865,0.395937741,0.205214396,0.467050642,0.324947745,0.345208108,0.345977604,0.497310162,0.448723525,0.252390802,0.520285308,0.366664082,0.307819515,0.453465968,0.544024527,0.329839766,0.385810733,0.400179982,0.377374023,0.407412827,0.580766439,0.467071861,0.464584112
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.307410598,0.323785543,0.349878401,0.399277568,0.298850149,0.430402249,0.327921122,0.257966638,0.357305527,0.298197836,0.345951945,0.280050039,0.367930502,0.277065039,0.353483319,0.174842894,0.282899648,0.258918613,0.319037944,0.327271551,0.331453174,0.345875859,0.258352935,0.327471793,0.26207453,0.307289004,0.331398487,0.303019702,0.291505337,0.266511261,0.260045975,0.325210899,0.348548859,0.283557802,0.280559897,0.329605371,0.301336318,0.315883517,0.109537706,0.199305534,0.346992671,0.322116852,0.360712647,0.386263222,0.309837133,0.358787626,0.371806145,0.205738649,0.228661522,0.331973732,0.300428092,0.285744548,0.338957906,0.273348927,0.220884308,0.253355056,0.392033905,0.310365915,0.246595472,0.222677901,0.327638924,0.32225877,0.231916502,0.199653104,0.192675784,0.088863276,0.322976589,0.288964838,0.345038295,0.341684788,0.11906644,0.363730818,0.296149373,0.36226052,0.216340631,0.293209165,0.345909089,0.377346784,0.292975426,0.155950814,0.33899045,0.254541725,0.279871613,0.265082151,0.344191074,0.341294587,0.200823486,0.332523793,0.262154251,0.227827862,0.327604741,0.381738752,0.241774499,0.277752399,0.287123531,0.265331626,0.288726687,0.4418118,0.322366446,0.381032348
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.906896174,0.906588674,1,1,0.905381262,1,0.889074087,0.703116119,0.997405231,0.876709402,1,0.762178957,1,0.855910182,1,0.484743983,0.861347198,0.673974156,0.991638362,0.892922699,1,0.939347386,0.728067815,0.899791658,0.720777988,0.766671956,0.949763894,0.97158581,0.830561101,0.695619941,0.72990495,1,1,0.880685151,0.719085217,0.970868409,0.836259186,0.818391621,0.309265554,0.526197672,0.904782116,0.965321243,1,1,0.869148374,1,1,0.49911055,0.628433466,0.992883921,0.869338572,0.880659163,0.98945564,0.732872605,0.632722557,0.70854938,1,0.92567271,0.670181572,0.582671523,0.960982203,0.975809157,0.649640679,0.561470628,0.541026294,0.228103608,0.882135272,0.827814102,1,1,0.311207175,1,0.900200725,0.983892441,0.670904577,0.920538247,1,1,0.916079342,0.399062216,1,0.647593558,0.85998708,0.725141346,0.928336143,1,0.584148765,0.954835415,0.860952556,0.62715888,0.893054187,1,0.634044528,0.758371294,0.75730592,0.776363194,0.798772693,1,0.953070819,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,0.007376019,0.776662886,0.07909064,0.094634622,1,1,1,1,0.217160791,0.882076919,1,0.366008729,1,1,1,1,1,1,0.103955857,1,0.099636175,0.166612864,0.014097911,1,1,0.018657777,1,0.05779741,1,0.019079439,1,1,0.055536531,0.580149591,1,1,0.583945096,0.026371168,0.018948525,1,0.013799128,1,0.322936177,1,0.017447738,0.051466603,0.019453986,0.393727869,1,1,1,0.09144789,1,0.702478588,1,1,0.022125604,1,1,0.04199278,1,1,1,1,1,0.041032035,0.021182662,0.028664598,1,1,1,0.601547956,1,1,1,1,0.024475934,0.15891172,0.197396278,1,0.605982244,0.289760649,0.043521963,0.04194691,1,0.312662303,1,0.34979248,1,1,0.017897198,0.351381451,1,0.051541381,0.082773969,0.01851551,0.010913391,1
