0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.938328505,0.878104866,1,1,1,1,1,1,1,0.875800967,0.802250862,1,1,0.901819706,0.944109023,1,1,1,1,1,0.97557199,0.958721042,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.838668644,1,1,0.94122982,1,0.99495101,1,1,1,0.945673287,1,1,1,1,1,1,1,1,1,1,0.846133471,0.981888354,1,1,1,1,1,0.9767676,0.951430321,1,1,1,1,1,0.968776226,1,1,1,1,1,1,1,1,0.929783821,1,1,1,1,1,1,0.989702106,1,1,1,1,1,1,1,1,1,1
0.938328505,0.878104866,1,1,1,1,1,1,1,0.875800967,0.802250862,1,1,0.901819706,0.944109023,1,1,1,1,1,0.97557199,0.958721042,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.838668644,1,1,0.94122982,1,0.99495101,1,1,1,0.945673287,1,1,1,1,1,1,1,1,1,1,0.846133471,0.981888354,1,1,1,1,1,0.9767676,0.951430321,1,1,1,1,1,0.968776226,1,1,1,1,1,1,1,1,0.929783821,1,1,1,1,1,1,0.989702106,1,1,1,1,1,1,1,1,1,1
0.635479212,0.704799473,0.672130287,0.646906495,0.697232604,0.684467793,0.65844202,0.70554322,0.623142183,0.726103783,0.725332379,0.673276842,0.651629269,0.679832935,0.677502215,0.68059814,0.67094332,0.678681612,0.707065463,0.624556482,0.648385704,0.702839375,0.639844239,0.634779692,0.63358748,0.626233041,0.697568417,0.661881149,0.676751196,0.645634711,0.686776161,0.636253238,0.723280549,0.654128194,0.713755906,0.624942839,0.650836766,0.647372544,0.688221037,0.729510367,0.648833215,0.645858705,0.685685754,0.731117904,0.676955163,0.645712197,0.703537524,0.706258118,0.711092412,0.618767381,0.651617765,0.684468091,0.666885316,0.685866237,0.702736795,0.686024785,0.61877054,0.708396435,0.679136276,0.713505685,0.642965913,0.71411854,0.680416524,0.642633975,0.6296404,0.62658608,0.681957126,0.674735963,0.636403799,0.691429615,0.72007525,0.677998483,0.677539527,0.631984234,0.64592135,0.631549478,0.718512535,0.644231856,0.652352691,0.684858263,0.620941758,0.680383563,0.668762565,0.674677491,0.699250698,0.619542837,0.638449073,0.62121135,0.617201805,0.689359486,0.680068493,0.642068923,0.64926827,0.681546509,0.680296302,0.713221014,0.628626347,0.685654461,0.686473191,0.636041224
0.635479212,0.704799473,0.672130287,0.646906495,0.697232604,0.684467793,0.65844202,0.70554322,0.623142183,0.726103783,0.725332379,0.673276842,0.651629269,0.679832935,0.677502215,0.68059814,0.67094332,0.678681612,0.707065463,0.624556482,0.648385704,0.702839375,0.639844239,0.634779692,0.63358748,0.626233041,0.697568417,0.661881149,0.676751196,0.645634711,0.686776161,0.636253238,0.723280549,0.654128194,0.713755906,0.624942839,0.650836766,0.647372544,0.688221037,0.729510367,0.648833215,0.645858705,0.685685754,0.731117904,0.676955163,0.645712197,0.703537524,0.706258118,0.711092412,0.618767381,0.651617765,0.684468091,0.666885316,0.685866237,0.702736795,0.686024785,0.61877054,0.708396435,0.679136276,0.713505685,0.642965913,0.71411854,0.680416524,0.642633975,0.6296404,0.62658608,0.681957126,0.674735963,0.636403799,0.691429615,0.72007525,0.677998483,0.677539527,0.631984234,0.64592135,0.631549478,0.718512535,0.644231856,0.652352691,0.684858263,0.620941758,0.680383563,0.668762565,0.674677491,0.699250698,0.619542837,0.638449073,0.62121135,0.617201805,0.689359486,0.680068493,0.642068923,0.64926827,0.681546509,0.680296302,0.713221014,0.628626347,0.685654461,0.686473191,0.636041224
0.770462096,0.857021153,1,0.595176935,0.869402945,0.552651525,0.537418723,0.850445509,0.759250164,0.64310801,0.595515907,0.605870068,0.517313182,0.613026977,1,0.664534032,1,0.860086083,0.914707601,0.716143548,0.535126686,0.998940289,0.807421088,0.791267812,0.639730036,0.846401989,0.521165907,0.611503065,0.929235637,0.771354854,0.559969127,0.589543819,0.889107108,0.584739566,1,0.682414472,0.890944898,0.666424394,0.726272225,0.67893815,0.669843078,0.639116704,0.548464775,0.651011229,0.664552867,0.931226432,1,0.638924778,0.692059696,0.613030195,0.554841161,0.646804273,0.934211135,0.530819058,0.968064368,0.814881146,0.550585687,0.641091049,0.774623096,0.55343169,0.529366374,0.75154227,0.575234771,0.804068208,0.708852232,0.898355484,0.621315241,0.675904214,0.768501043,0.526593149,0.948313773,0.694578767,0.757561386,0.650033057,0.804866314,0.960698068,0.564876556,0.561758161,0.530213177,0.518499911,0.54702884,1,0.675793469,0.677368999,1,0.886024594,0.75641346,0.818540394,0.684989095,0.542749763,0.737426162,0.588537395,0.781410217,0.654164732,0.630572617,0.92043376,0.609176815,0.594927132,0.585741282,0.744704068
0.770462096,0.857021153,1,0.595176935,0.869402945,0.552651525,0.537418723,0.850445509,0.759250164,0.64310801,0.595515907,0.605870068,0.517313182,0.613026977,1,0.664534032,1,0.860086083,0.914707601,0.716143548,0.535126686,0.998940289,0.807421088,0.791267812,0.639730036,0.846401989,0.521165907,0.611503065,0.929235637,0.771354854,0.559969127,0.589543819,0.889107108,0.584739566,1,0.682414472,0.890944898,0.666424394,0.726272225,0.67893815,0.669843078,0.639116704,0.548464775,0.651011229,0.664552867,0.931226432,1,0.638924778,0.692059696,0.613030195,0.554841161,0.646804273,0.934211135,0.530819058,0.968064368,0.814881146,0.550585687,0.641091049,0.774623096,0.55343169,0.529366374,0.75154227,0.575234771,0.804068208,0.708852232,0.898355484,0.621315241,0.675904214,0.768501043,0.526593149,0.948313773,0.694578767,0.757561386,0.650033057,0.804866314,0.960698068,0.564876556,0.561758161,0.530213177,0.518499911,0.54702884,1,0.675793469,0.677368999,1,0.886024594,0.75641346,0.818540394,0.684989095,0.542749763,0.737426162,0.588537395,0.781410217,0.654164732,0.630572617,0.92043376,0.609176815,0.594927132,0.585741282,0.744704068
eopch= 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0.206311092,0.083745196,0.072678983,0.098684862,0.060865622,0.139483839,1,0.069240361,0.205552384,0.167784035,1,1,0.085748121,1,0.101712339,0.760489941,0.287772059,0.614165485,0.050955661,0.077675931,1,0.806045949,0.21071966,0.071382016,0.30871433,0.067062467,1,0.410872281,0.968058884,0.172481596,0.545340657,0.072674982,0.168342754,0.093781546,1,1,0.041589204,0.14845778,0.126433626,0.352420896,0.058901615,0.128027767,0.080785193,0.086266652,0.058279205,1,0.240864664,0.096278064,0.104850166,0.03908148,0.214831859,0.066965096,0.186345354,0.064549685,0.113451958,1,1,0.109211139,0.231809899,0.06946642,0.093795054,0.085063986,1,0.151970372,0.306558579,0.192761958,1,0.200241327,0.518007457,0.5363186,0.375468284,0.4019517,1,0.102684252,1,0.455743879,0.058371808,0.100376569,0.073436685,0.088829152,0.09030664,0.118477724,0.062833264,0.10803207,0.047297511,0.077093102,0.051691514,0.237522274,0.169464022,0.079554789,0.054740455,0.051026154,0.155115873,0.24794808,0.242286041,0.034441669,1,0.045310948,1,0.11644306
