0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.969027996,1,1,1,1,1,1,1,0.968651235,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.943801522,1,0.986129224,1,1,1,1,1,1,1,1,1,0.950416803,1,1,1,1,1,1,1,0.980253696,0.987746239,0.946666539,0.890750885,1,0.965941727,1,1,1,1,1,1,1,1,0.889851868,1,1,1,1,1,0.958060801,1,1,0.932940781,1,1,1,1,1,1,1,1,1,0.978334546,1,1,1,1,1,1,1,1,0.977237225,1,1,1,1,0.942284882,1,1,1,0.90321213,0.966069639,1
0.969027996,1,1,1,1,1,1,1,0.968651235,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.943801522,1,0.986129224,1,1,1,1,1,1,1,1,1,0.950416803,1,1,1,1,1,1,1,0.980253696,0.987746239,0.946666539,0.890750885,1,0.965941727,1,1,1,1,1,1,1,1,0.889851868,1,1,1,1,1,0.958060801,1,1,0.932940781,1,1,1,1,1,1,1,1,1,0.978334546,1,1,1,1,1,1,1,1,0.977237225,1,1,1,1,0.942284882,1,1,1,0.90321213,0.966069639,1
0.669980288,0.692902684,0.720824838,0.674701929,0.70351243,0.693665147,0.725354612,0.697641492,0.677030802,0.660443842,0.674450219,0.722448409,0.664364457,0.700657487,0.69455421,0.707651913,0.714260459,0.695912421,0.667316735,0.678322017,0.661051691,0.702596247,0.72183001,0.686312914,0.719498098,0.719445109,0.658065081,0.721685052,0.695573211,0.672537267,0.702240527,0.700473964,0.696288764,0.694101691,0.713638365,0.705332518,0.714526534,0.68417716,0.668155015,0.692152619,0.678740203,0.733659923,0.696352541,0.743768692,0.64855957,0.673813641,0.658770561,0.675771058,0.666469514,0.663676441,0.680696309,0.649315894,0.725348651,0.677478552,0.678585172,0.693400264,0.681639433,0.727718592,0.683164835,0.7102319,0.675140023,0.654036224,0.665975749,0.709541619,0.69145155,0.703370512,0.676970899,0.703922808,0.666013122,0.706003606,0.704678714,0.676305056,0.698236704,0.708805442,0.6722247,0.698877573,0.671970665,0.709923625,0.669557631,0.662708521,0.687559962,0.720736682,0.669832051,0.702181101,0.687505186,0.699659526,0.660434484,0.666420341,0.670909762,0.737937033,0.671737611,0.66603601,0.664299309,0.671419144,0.663592935,0.683882177,0.661009073,0.661479294,0.667386591,0.661703169
0.669980288,0.692902684,0.720824838,0.674701929,0.70351243,0.693665147,0.725354612,0.697641492,0.677030802,0.660443842,0.674450219,0.722448409,0.664364457,0.700657487,0.69455421,0.707651913,0.714260459,0.695912421,0.667316735,0.678322017,0.661051691,0.702596247,0.72183001,0.686312914,0.719498098,0.719445109,0.658065081,0.721685052,0.695573211,0.672537267,0.702240527,0.700473964,0.696288764,0.694101691,0.713638365,0.705332518,0.714526534,0.68417716,0.668155015,0.692152619,0.678740203,0.733659923,0.696352541,0.743768692,0.64855957,0.673813641,0.658770561,0.675771058,0.666469514,0.663676441,0.680696309,0.649315894,0.725348651,0.677478552,0.678585172,0.693400264,0.681639433,0.727718592,0.683164835,0.7102319,0.675140023,0.654036224,0.665975749,0.709541619,0.69145155,0.703370512,0.676970899,0.703922808,0.666013122,0.706003606,0.704678714,0.676305056,0.698236704,0.708805442,0.6722247,0.698877573,0.671970665,0.709923625,0.669557631,0.662708521,0.687559962,0.720736682,0.669832051,0.702181101,0.687505186,0.699659526,0.660434484,0.666420341,0.670909762,0.737937033,0.671737611,0.66603601,0.664299309,0.671419144,0.663592935,0.683882177,0.661009073,0.661479294,0.667386591,0.661703169
0.528082252,0.525261104,0.522242129,0.524272323,0.527112484,0.538941145,0.534286916,0.541254759,0.52494204,0.531667769,0.532078266,0.513087392,0.52809602,0.523675561,0.533316791,0.527856946,0.511516988,0.519714475,0.523130655,0.52790606,0.529851556,0.521854877,0.527586877,0.534842193,0.528255999,0.525604784,0.524499118,0.530282497,0.515074015,0.525604784,0.538956702,0.53675276,0.520284534,0.523681223,0.519082546,0.522270799,0.521959543,0.526186407,0.518740118,0.521083593,0.536489248,0.54605329,0.514818549,0.539645255,0.516305387,0.529291332,0.522657037,0.528223276,0.526954055,0.527735472,0.529217541,0.532155752,0.53556174,0.523819208,0.527796984,0.533267498,0.524984062,0.517448246,0.531008899,0.512754679,0.513807952,0.524636984,0.530727506,0.522340655,0.522446036,0.5213902,0.532356203,0.52649802,0.528350532,0.512788236,0.522708476,0.527869284,0.512916148,0.52684623,0.530635118,0.525268078,0.536024868,0.516949296,0.535676301,0.5194484,0.524120092,0.532810211,0.52144146,0.52910465,0.52965194,0.52072084,0.535614729,0.530236244,0.53096813,0.535491765,0.531611383,0.525722742,0.523999155,0.527016878,0.525779188,0.527669847,0.531106889,0.522438586,0.528109312,0.527008772
0.528082252,0.525261104,0.522242129,0.524272323,0.527112484,0.538941145,0.534286916,0.541254759,0.52494204,0.531667769,0.532078266,0.513087392,0.52809602,0.523675561,0.533316791,0.527856946,0.511516988,0.519714475,0.523130655,0.52790606,0.529851556,0.521854877,0.527586877,0.534842193,0.528255999,0.525604784,0.524499118,0.530282497,0.515074015,0.525604784,0.538956702,0.53675276,0.520284534,0.523681223,0.519082546,0.522270799,0.521959543,0.526186407,0.518740118,0.521083593,0.536489248,0.54605329,0.514818549,0.539645255,0.516305387,0.529291332,0.522657037,0.528223276,0.526954055,0.527735472,0.529217541,0.532155752,0.53556174,0.523819208,0.527796984,0.533267498,0.524984062,0.517448246,0.531008899,0.512754679,0.513807952,0.524636984,0.530727506,0.522340655,0.522446036,0.5213902,0.532356203,0.52649802,0.528350532,0.512788236,0.522708476,0.527869284,0.512916148,0.52684623,0.530635118,0.525268078,0.536024868,0.516949296,0.535676301,0.5194484,0.524120092,0.532810211,0.52144146,0.52910465,0.52965194,0.52072084,0.535614729,0.530236244,0.53096813,0.535491765,0.531611383,0.525722742,0.523999155,0.527016878,0.525779188,0.527669847,0.531106889,0.522438586,0.528109312,0.527008772
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0.721479177,0.249927953,0.048959415,1,0.050836887,0.298097342,0.133017272,1,0.179329023,0.051642191,0.058520317,1,0.235730529,0.150232181,0.100990012,0.064936802,0.105451219,0.309060425,1,0.108196333,0.315692991,1,0.051681757,0.13379328,1,0.157704338,0.063043386,0.03052792,0.060965896,0.250835747,1,0.134282663,0.303849727,1,1,0.141467437,1,0.256490469,0.09581884,0.047723111,0.489728659,1,0.767152965,0.0347909,0.19482334,0.780848384,0.260216475,0.075277284,0.046687528,0.852921426,0.560041368,0.100544095,1,1,0.083640926,0.08690884,1,1,0.239248589,0.188875169,0.148969993,0.058187582,0.047279075,0.152013928,0.054406781,0.128132388,0.09678831,0.081133597,0.494271815,1,0.070514515,0.096655749,0.367313325,0.120391846,0.154375702,0.39168638,0.109870888,0.053670891,0.360095531,0.312324464,0.075100712,0.072731018,1,0.138702556,0.077626541,0.170788184,0.69087106,0.133488595,0.051710334,0.054826379,0.160687715,1,0.215706155,1,0.362170547,1,0.12867865,1,0.507528961,0.426830024
