Train Epoch: 1 (epsilon = 0.2521, delta = 1e-05), clip value = 0.6310922686409 for alpha = 52.0
Train Epoch: 1 (epsilon = 0.2541, delta = 1e-05), clip value = 0.6310922686409 for alpha = 51.0
Train Epoch: 1 (epsilon = 0.2560, delta = 1e-05), clip value = 0.6310922686409 for alpha = 51.0
Train Epoch: 1 (epsilon = 0.2580, delta = 1e-05), clip value = 0.6310922686409 for alpha = 51.0
Train Epoch: 1 (epsilon = 0.2600, delta = 1e-05), clip value = 0.6310922686409 for alpha = 51.0
Train Epoch: 1 (epsilon = 0.2619, delta = 1e-05), clip value = 0.6310922686409 for alpha = 50.0
Train Epoch: 1 (epsilon = 0.2638, delta = 1e-05), clip value = 0.6310922686409 for alpha = 50.0
Train Epoch: 1 (epsilon = 0.2658, delta = 1e-05), clip value = 0.6310922686409 for alpha = 50.0
Train Epoch: 1 (epsilon = 0.2677, delta = 1e-05), clip value = 0.6310922686409 for alpha = 49.0
Train Epoch: 1 (epsilon = 0.2696, delta = 1e-05), clip value = 0.6310922686409 for alpha = 49.0
Train Epoch: 1 (epsilon = 0.2714, delta = 1e-05), clip value = 0.6310922686409 for alpha = 49.0
Train Epoch: 1 (epsilon = 0.2733, delta = 1e-05), clip value = 0.6310922686409 for alpha = 49.0
Train Epoch: 1 (epsilon = 0.2752, delta = 1e-05), clip value = 0.6310922686409 for alpha = 48.0
Train Epoch: 1 (epsilon = 0.2770, delta = 1e-05), clip value = 0.6310922686409 for alpha = 48.0
Train Epoch: 1 (epsilon = 0.2788, delta = 1e-05), clip value = 0.6310922686409 for alpha = 48.0
Train Epoch: 1 (epsilon = 0.2807, delta = 1e-05), clip value = 0.6310922686409 for alpha = 48.0
Train Epoch: 1 (epsilon = 0.2825, delta = 1e-05), clip value = 0.6310922686409 for alpha = 47.0
Train Epoch: 1 (epsilon = 0.2843, delta = 1e-05), clip value = 0.6310922686409 for alpha = 47.0
Train Epoch: 1 (epsilon = 0.2861, delta = 1e-05), clip value = 0.6310922686409 for alpha = 47.0
Train Epoch: 1 (epsilon = 0.2878, delta = 1e-05), clip value = 0.6310922686409 for alpha = 47.0
Train Epoch: 1 (epsilon = 0.2896, delta = 1e-05), clip value = 0.6310922686409 for alpha = 47.0
Train Epoch: 1 (epsilon = 0.2914, delta = 1e-05), clip value = 0.6310922686409 for alpha = 46.0
Train Epoch: 1 (epsilon = 0.2931, delta = 1e-05), clip value = 0.6310922686409 for alpha = 46.0
Train Epoch: 1 (epsilon = 0.2949, delta = 1e-05), clip value = 0.6310922686409 for alpha = 46.0
Train Epoch: 1 (epsilon = 0.2966, delta = 1e-05), clip value = 0.6310922686409 for alpha = 46.0
Train Epoch: 1 (epsilon = 0.2983, delta = 1e-05), clip value = 0.6310922686409 for alpha = 45.0
Train Epoch: 1 (epsilon = 0.3000, delta = 1e-05), clip value = 0.6310922686409 for alpha = 45.0
