Train Epoch: 0 (epsilon = 1.6627, delta = 1e-05), clip value = 0.07 for alpha = 7.4
Train Epoch: 0 (epsilon = 1.6677, delta = 1e-05), clip value = 0.07 for alpha = 7.4
Train Epoch: 0 (epsilon = 1.6728, delta = 1e-05), clip value = 0.07 for alpha = 7.4
Train Epoch: 0 (epsilon = 1.6778, delta = 1e-05), clip value = 0.07 for alpha = 7.4
Train Epoch: 0 (epsilon = 1.6828, delta = 1e-05), clip value = 0.07 for alpha = 7.4
Train Epoch: 0 (epsilon = 1.6878, delta = 1e-05), clip value = 0.07 for alpha = 7.4
Train Epoch: 0 (epsilon = 1.6928, delta = 1e-05), clip value = 0.07 for alpha = 7.3
Train Epoch: 0 (epsilon = 1.6975, delta = 1e-05), clip value = 0.07 for alpha = 7.3
Train Epoch: 0 (epsilon = 1.7022, delta = 1e-05), clip value = 0.07 for alpha = 7.3
Train Epoch: 0 (epsilon = 1.7068, delta = 1e-05), clip value = 0.07 for alpha = 7.3
Train Epoch: 0 (epsilon = 1.7115, delta = 1e-05), clip value = 0.07 for alpha = 7.3
Train Epoch: 0 (epsilon = 1.7162, delta = 1e-05), clip value = 0.07 for alpha = 7.3
Train Epoch: 0 (epsilon = 1.7209, delta = 1e-05), clip value = 0.07 for alpha = 7.3
Train Epoch: 0 (epsilon = 1.7256, delta = 1e-05), clip value = 0.07 for alpha = 7.3
Train Epoch: 0 (epsilon = 1.7303, delta = 1e-05), clip value = 0.07 for alpha = 7.3
Train Epoch: 0 (epsilon = 1.7350, delta = 1e-05), clip value = 0.07 for alpha = 7.3
Train Epoch: 0 (epsilon = 1.7397, delta = 1e-05), clip value = 0.07 for alpha = 7.3
Train Epoch: 0 (epsilon = 1.7443, delta = 1e-05), clip value = 0.07 for alpha = 7.3
Train Epoch: 0 (epsilon = 1.7490, delta = 1e-05), clip value = 0.07 for alpha = 7.3
Train Epoch: 0 (epsilon = 1.7537, delta = 1e-05), clip value = 0.07 for alpha = 7.3
