Train Epoch: 23 (epsilon = 0.7627, delta = 1e-05), clip value = 0.42007426746599985 for alpha = 22.0
Train Epoch: 23 (epsilon = 0.7629, delta = 1e-05), clip value = 0.42007426746599985 for alpha = 22.0
Train Epoch: 23 (epsilon = 0.7632, delta = 1e-05), clip value = 0.42007426746599985 for alpha = 22.0
Train Epoch: 23 (epsilon = 0.7635, delta = 1e-05), clip value = 0.42007426746599985 for alpha = 22.0
Train Epoch: 23 (epsilon = 0.7638, delta = 1e-05), clip value = 0.42007426746599985 for alpha = 22.0
Train Epoch: 23 (epsilon = 0.7641, delta = 1e-05), clip value = 0.42007426746599985 for alpha = 22.0
Train Epoch: 23 (epsilon = 0.7644, delta = 1e-05), clip value = 0.42007426746599985 for alpha = 22.0
Train Epoch: 23 (epsilon = 0.7647, delta = 1e-05), clip value = 0.42007426746599985 for alpha = 22.0
Epoch 23 Test Accuracy: 0.8376
Train Epoch: 24 (epsilon = 0.7650, delta = 1e-05), clip value = 0.43549305131200033 for alpha = 22.0
Train Epoch: 24 (epsilon = 0.7653, delta = 1e-05), clip value = 0.43549305131200033 for alpha = 22.0
Train Epoch: 24 (epsilon = 0.7656, delta = 1e-05), clip value = 0.43549305131200033 for alpha = 22.0
Train Epoch: 24 (epsilon = 0.7658, delta = 1e-05), clip value = 0.43549305131200033 for alpha = 22.0
Train Epoch: 24 (epsilon = 0.7661, delta = 1e-05), clip value = 0.43549305131200033 for alpha = 22.0
Train Epoch: 24 (epsilon = 0.7664, delta = 1e-05), clip value = 0.43549305131200033 for alpha = 22.0
Train Epoch: 24 (epsilon = 0.7667, delta = 1e-05), clip value = 0.43549305131200033 for alpha = 22.0
Train Epoch: 24 (epsilon = 0.7670, delta = 1e-05), clip value = 0.43549305131200033 for alpha = 22.0
Train Epoch: 24 (epsilon = 0.7673, delta = 1e-05), clip value = 0.43549305131200033 for alpha = 22.0
Train Epoch: 24 (epsilon = 0.7676, delta = 1e-05), clip value = 0.43549305131200033 for alpha = 22.0
Train Epoch: 24 (epsilon = 0.7679, delta = 1e-05), clip value = 0.43549305131200033 for alpha = 22.0
Train Epoch: 24 (epsilon = 0.7682, delta = 1e-05), clip value = 0.43549305131200033 for alpha = 22.0
Train Epoch: 24 (epsilon = 0.7685, delta = 1e-05), clip value = 0.43549305131200033 for alpha = 22.0
Train Epoch: 24 (epsilon = 0.7687, delta = 1e-05), clip value = 0.43549305131200033 for alpha = 22.0
Train Epoch: 24 (epsilon = 0.7690, delta = 1e-05), clip value = 0.43549305131200033 for alpha = 22.0
Train Epoch: 24 (epsilon = 0.7693, delta = 1e-05), clip value = 0.43549305131200033 for alpha = 22.0
Train Epoch: 24 (epsilon = 0.7696, delta = 1e-05), clip value = 0.43549305131200033 for alpha = 22.0
Train Epoch: 24 (epsilon = 0.7699, delta = 1e-05), clip value = 0.43549305131200033 for alpha = 22.0
Train Epoch: 24 (epsilon = 0.7702, delta = 1e-05), clip value = 0.43549305131200033 for alpha = 22.0
Train Epoch: 24 (epsilon = 0.7705, delta = 1e-05), clip value = 0.43549305131200033 for alpha = 22.0
Train Epoch: 24 (epsilon = 0.7708, delta = 1e-05), clip value = 0.43549305131200033 for alpha = 22.0
Train Epoch: 24 (epsilon = 0.7711, delta = 1e-05), clip value = 0.43549305131200033 for alpha = 22.0
Train Epoch: 24 (epsilon = 0.7713, delta = 1e-05), clip value = 0.43549305131200033 for alpha = 22.0
Train Epoch: 24 (epsilon = 0.7716, delta = 1e-05), clip value = 0.43549305131200033 for alpha = 22.0
Train Epoch: 24 (epsilon = 0.7719, delta = 1e-05), clip value = 0.43549305131200033 for alpha = 22.0
Train Epoch: 24 (epsilon = 0.7722, delta = 1e-05), clip value = 0.43549305131200033 for alpha = 22.0
Train Epoch: 24 (epsilon = 0.7725, delta = 1e-05), clip value = 0.43549305131200033 for alpha = 22.0
Train Epoch: 24 (epsilon = 0.7728, delta = 1e-05), clip value = 0.43549305131200033 for alpha = 22.0
Train Epoch: 24 (epsilon = 0.7731, delta = 1e-05), clip value = 0.43549305131200033 for alpha = 22.0
Train Epoch: 24 (epsilon = 0.7734, delta = 1e-05), clip value = 0.43549305131200033 for alpha = 22.0
Train Epoch: 24 (epsilon = 0.7737, delta = 1e-05), clip value = 0.43549305131200033 for alpha = 22.0
Train Epoch: 24 (epsilon = 0.7740, delta = 1e-05), clip value = 0.43549305131200033 for alpha = 22.0
Train Epoch: 24 (epsilon = 0.7742, delta = 1e-05), clip value = 0.43549305131200033 for alpha = 22.0
Train Epoch: 24 (epsilon = 0.7745, delta = 1e-05), clip value = 0.43549305131200033 for alpha = 22.0
Train Epoch: 24 (epsilon = 0.7748, delta = 1e-05), clip value = 0.43549305131200033 for alpha = 22.0
Train Epoch: 24 (epsilon = 0.7751, delta = 1e-05), clip value = 0.43549305131200033 for alpha = 22.0
Train Epoch: 24 (epsilon = 0.7754, delta = 1e-05), clip value = 0.43549305131200033 for alpha = 22.0
Train Epoch: 24 (epsilon = 0.7757, delta = 1e-05), clip value = 0.43549305131200033 for alpha = 22.0
Train Epoch: 24 (epsilon = 0.7760, delta = 1e-05), clip value = 0.43549305131200033 for alpha = 22.0
Train Epoch: 24 (epsilon = 0.7763, delta = 1e-05), clip value = 0.43549305131200033 for alpha = 22.0
Train Epoch: 24 (epsilon = 0.7766, delta = 1e-05), clip value = 0.43549305131200033 for alpha = 22.0
Train Epoch: 24 (epsilon = 0.7769, delta = 1e-05), clip value = 0.43549305131200033 for alpha = 22.0
Train Epoch: 24 (epsilon = 0.7771, delta = 1e-05), clip value = 0.43549305131200033 for alpha = 22.0
Train Epoch: 24 (epsilon = 0.7774, delta = 1e-05), clip value = 0.43549305131200033 for alpha = 22.0
Train Epoch: 24 (epsilon = 0.7777, delta = 1e-05), clip value = 0.43549305131200033 for alpha = 22.0
Train Epoch: 24 (epsilon = 0.7780, delta = 1e-05), clip value = 0.43549305131200033 for alpha = 22.0
Train Epoch: 24 (epsilon = 0.7783, delta = 1e-05), clip value = 0.43549305131200033 for alpha = 22.0
Train Epoch: 24 (epsilon = 0.7786, delta = 1e-05), clip value = 0.43549305131200033 for alpha = 22.0
Train Epoch: 24 (epsilon = 0.7789, delta = 1e-05), clip value = 0.43549305131200033 for alpha = 22.0
Train Epoch: 24 (epsilon = 0.7792, delta = 1e-05), clip value = 0.43549305131200033 for alpha = 22.0
Train Epoch: 24 (epsilon = 0.7795, delta = 1e-05), clip value = 0.43549305131200033 for alpha = 22.0
Train Epoch: 24 (epsilon = 0.7797, delta = 1e-05), clip value = 0.43549305131200033 for alpha = 22.0
Train Epoch: 24 (epsilon = 0.7800, delta = 1e-05), clip value = 0.43549305131200033 for alpha = 22.0
Train Epoch: 24 (epsilon = 0.7803, delta = 1e-05), clip value = 0.43549305131200033 for alpha = 22.0
Train Epoch: 24 (epsilon = 0.7806, delta = 1e-05), clip value = 0.43549305131200033 for alpha = 22.0
Train Epoch: 24 (epsilon = 0.7809, delta = 1e-05), clip value = 0.43549305131200033 for alpha = 22.0
Train Epoch: 24 (epsilon = 0.7812, delta = 1e-05), clip value = 0.43549305131200033 for alpha = 22.0
Train Epoch: 24 (epsilon = 0.7815, delta = 1e-05), clip value = 0.43549305131200033 for alpha = 22.0
Train Epoch: 24 (epsilon = 0.7818, delta = 1e-05), clip value = 0.43549305131200033 for alpha = 22.0
