Train Epoch: 1 (epsilon = 0.5361, delta = 1e-05), clip value = 1.698498489584 for alpha = 19.0
Train Epoch: 1 (epsilon = 0.5380, delta = 1e-05), clip value = 1.698498489584 for alpha = 19.0
Train Epoch: 1 (epsilon = 0.5398, delta = 1e-05), clip value = 1.698498489584 for alpha = 19.0
Train Epoch: 1 (epsilon = 0.5417, delta = 1e-05), clip value = 1.698498489584 for alpha = 19.0
Train Epoch: 1 (epsilon = 0.5435, delta = 1e-05), clip value = 1.698498489584 for alpha = 19.0
Train Epoch: 1 (epsilon = 0.5453, delta = 1e-05), clip value = 1.698498489584 for alpha = 19.0
Train Epoch: 1 (epsilon = 0.5472, delta = 1e-05), clip value = 1.698498489584 for alpha = 19.0
Train Epoch: 1 (epsilon = 0.5490, delta = 1e-05), clip value = 1.698498489584 for alpha = 19.0
Train Epoch: 1 (epsilon = 0.5509, delta = 1e-05), clip value = 1.698498489584 for alpha = 19.0
Train Epoch: 1 (epsilon = 0.5527, delta = 1e-05), clip value = 1.698498489584 for alpha = 19.0
Train Epoch: 1 (epsilon = 0.5545, delta = 1e-05), clip value = 1.698498489584 for alpha = 19.0
Train Epoch: 1 (epsilon = 0.5564, delta = 1e-05), clip value = 1.698498489584 for alpha = 19.0
Train Epoch: 1 (epsilon = 0.5582, delta = 1e-05), clip value = 1.698498489584 for alpha = 19.0
Train Epoch: 1 (epsilon = 0.5601, delta = 1e-05), clip value = 1.698498489584 for alpha = 19.0
Train Epoch: 1 (epsilon = 0.5619, delta = 1e-05), clip value = 1.698498489584 for alpha = 19.0
Train Epoch: 1 (epsilon = 0.5637, delta = 1e-05), clip value = 1.698498489584 for alpha = 19.0
Train Epoch: 1 (epsilon = 0.5656, delta = 1e-05), clip value = 1.698498489584 for alpha = 19.0
Train Epoch: 1 (epsilon = 0.5674, delta = 1e-05), clip value = 1.698498489584 for alpha = 19.0
Train Epoch: 1 (epsilon = 0.5693, delta = 1e-05), clip value = 1.698498489584 for alpha = 19.0
Train Epoch: 1 (epsilon = 0.5711, delta = 1e-05), clip value = 1.698498489584 for alpha = 19.0
Train Epoch: 1 (epsilon = 0.5730, delta = 1e-05), clip value = 1.698498489584 for alpha = 19.0
Train Epoch: 1 (epsilon = 0.5748, delta = 1e-05), clip value = 1.698498489584 for alpha = 19.0
Train Epoch: 1 (epsilon = 0.5766, delta = 1e-05), clip value = 1.698498489584 for alpha = 19.0
Train Epoch: 1 (epsilon = 0.5785, delta = 1e-05), clip value = 1.698498489584 for alpha = 19.0
Train Epoch: 1 (epsilon = 0.5803, delta = 1e-05), clip value = 1.698498489584 for alpha = 19.0
Train Epoch: 1 (epsilon = 0.5822, delta = 1e-05), clip value = 1.698498489584 for alpha = 19.0
Train Epoch: 1 (epsilon = 0.5840, delta = 1e-05), clip value = 1.698498489584 for alpha = 19.0
Train Epoch: 1 (epsilon = 0.5858, delta = 1e-05), clip value = 1.698498489584 for alpha = 19.0
Train Epoch: 1 (epsilon = 0.5877, delta = 1e-05), clip value = 1.698498489584 for alpha = 19.0
Train Epoch: 1 (epsilon = 0.5895, delta = 1e-05), clip value = 1.698498489584 for alpha = 19.0
Train Epoch: 1 (epsilon = 0.5914, delta = 1e-05), clip value = 1.698498489584 for alpha = 19.0
Train Epoch: 1 (epsilon = 0.5932, delta = 1e-05), clip value = 1.698498489584 for alpha = 19.0
Train Epoch: 1 (epsilon = 0.5951, delta = 1e-05), clip value = 1.698498489584 for alpha = 19.0
Train Epoch: 1 (epsilon = 0.5969, delta = 1e-05), clip value = 1.698498489584 for alpha = 19.0
Train Epoch: 1 (epsilon = 0.5987, delta = 1e-05), clip value = 1.698498489584 for alpha = 19.0
Train Epoch: 1 (epsilon = 0.6006, delta = 1e-05), clip value = 1.698498489584 for alpha = 19.0
Train Epoch: 1 (epsilon = 0.6024, delta = 1e-05), clip value = 1.698498489584 for alpha = 19.0
Train Epoch: 1 (epsilon = 0.6043, delta = 1e-05), clip value = 1.698498489584 for alpha = 19.0
Train Epoch: 1 (epsilon = 0.6061, delta = 1e-05), clip value = 1.698498489584 for alpha = 19.0
Train Epoch: 1 (epsilon = 0.6079, delta = 1e-05), clip value = 1.698498489584 for alpha = 19.0
Train Epoch: 1 (epsilon = 0.6098, delta = 1e-05), clip value = 1.698498489584 for alpha = 19.0
Train Epoch: 1 (epsilon = 0.6116, delta = 1e-05), clip value = 1.698498489584 for alpha = 19.0
Train Epoch: 1 (epsilon = 0.6135, delta = 1e-05), clip value = 1.698498489584 for alpha = 19.0
Train Epoch: 1 (epsilon = 0.6153, delta = 1e-05), clip value = 1.698498489584 for alpha = 19.0
